id,post_content,event_place,timestamp,sentiment,event_type,severity,hashtags,log_time
102,🚧 Road blocked in Indiranagar due to a major accident. Seek alternate routes. #IndiranagarTraffic #BangaloreSafety,Indiranagar,2024-03-14 08:20:00,Negative,Accident,High,"#IndiranagarTraffic,#BangaloreSafety",2024-03-15 17:33:50
103,Unrest reported in Electronic City. Stay indoors and avoid unnecessary travel. #ElectronicCityAlert #BangaloreSafety,Electronic City,2024-03-14 10:05:00,Negative,Riot,High,"#ElectronicCityAlert,#BangaloreSafety",2024-03-15 17:34:12
104,🚦 Traffic jam reported near Brigade Road. Plan your commute accordingly. #BrigadeRoadTraffic #BangaloreTraffic,Brigade Road,2024-03-14 13:15:00,Neutral,Accident,Low,"#BrigadeRoadTraffic,#BangaloreTraffic",2024-03-15 17:34:34
105,Commotion in Whitefield area. Please exercise caution and follow updates for your safety. #WhitefieldAlert #BangaloreSafety,Whitefield,2024-03-14 15:40:00,Negative,Riot,High,"#WhitefieldAlert,#BangaloreSafety",2024-03-15 17:34:56
106,🚑 Emergency services at the scene of a serious accident near Hebbal Flyover. Expect delays. #HebbalAccident #BangaloreTraffic,Hebbal Flyover,2024-03-15 09:45:00,Negative,Accident,High,"#HebbalAccident,#BangaloreTraffic",2024-03-15 17:35:18
107,Disturbance reported in JP Nagar. Residents advised to stay vigilant and report any suspicious activity. #JPNagarAlert #BangaloreSafety,JP Nagar,2024-03-15 11:55:00,Negative,Violence,Medium,"#JPNagarAlert,#BangaloreSafety",2024-03-15 17:35:40
108,⚠️ Alert: Major incident near Yelahanka causing road closures. Seek alternative routes. #YelahankaIncident #BangaloreTraffic,Yelahanka,2024-03-15 14:30:00,Negative,Accident,High,"#YelahankaIncident,#BangaloreTraffic",2024-03-15 17:36:02
109,Protests erupting near Lalbagh. Avoid the area for your safety. #LalbaghProtest #BangaloreSafety,Lalbagh,2024-03-15 17:20:00,Negative,Riot,High,"#LalbaghProtest,#BangaloreSafety",2024-03-15 17:36:04
110,🚨 Breaking News: Violent clash reported in HSR Layout. Stay indoors and stay informed. #HSRLayoutAlert #BangaloreSafety,HSR Layout,2024-03-16 10:10:00,Negative,Violence,High,"#HSRLayoutAlert,#BangaloreSafety",2024-03-15 17:49:22
111,"Accident on Outer Ring Road near Marathahalli. Traffic diverted, expect delays. #MarathahalliTraffic #BangaloreTraffic",Marathahalli,2024-03-16 12:40:00,Negative,Accident,High,"#MarathahalliTraffic,#BangaloreTraffic",2024-03-15 17:49:23
112,🚧 Roadblock reported at Mysore Road. Use alternative routes. #MysoreRoadBlock #BangaloreTraffic,Mysore Road,2024-03-17 08:30:00,Negative,Accident,Medium,"#MysoreRoadBlock,#BangaloreTraffic",2024-03-16 05:35:36
113,Tension rising in Banashankari area. Stay indoors and follow updates for your safety. #BanashankariAlert #BangaloreSafety,Banashankari,2024-03-17 11:20:00,Negative,Violence,High,"#BanashankariAlert,#BangaloreSafety",2024-03-16 05:35:37
114,🚦 Heavy traffic near KR Puram Bridge. Plan your commute accordingly. #KRPuramTraffic #BangaloreTraffic,KR Puram Bridge,2024-03-17 14:45:00,Neutral,Accident,Low,"#KRPuramTraffic,#BangaloreTraffic",2024-03-16 05:35:39
115,Emergency services at the scene of a major accident near Rajajinagar. Avoid the vicinity. #RajajinagarAccident #BangaloreTraffic,Rajajinagar,2024-03-17 17:30:00,Negative,Accident,High,"#RajajinagarAccident,#BangaloreTraffic",2024-03-16 05:36:01
116,🔴 Critical situation in Malleshwaram. Residents advised to stay indoors and secure their homes. #MalleshwaramAlert #BangaloreSafety,Malleshwaram,2024-03-18 09:25:00,Negative,Violence,High,"#MalleshwaramAlert,#BangaloreSafety",2024-03-16 05:36:23
117,Reports of clashes in Basavanagudi. Exercise caution and stay away from affected areas. #BasavanagudiClash #BangaloreSafety,Basavanagudi,2024-03-18 12:15:00,Negative,Violence,High,"#BasavanagudiClash,#BangaloreSafety",2024-03-16 05:36:45
118,🚑 Accident near Jayanagar causing traffic disruptions. Use alternative routes. #JayanagarAccident #BangaloreTraffic,Jayanagar,2024-03-18 15:00:00,Negative,Accident,Medium,"#JayanagarAccident,#BangaloreTraffic",2024-03-16 05:37:08
119,Unrest escalating in Ulsoor. Stay vigilant and avoid unnecessary travel. #UlsoorAlert #BangaloreSafety,Ulsoor,2024-03-19 08:50:00,Negative,Riot,High,"#UlsoorAlert,#BangaloreSafety",2024-03-16 05:37:30
120,🚨 Breaking: Major incident reported near Bellandur. Residents advised to stay indoors. #BellandurAlert #BangaloreSafety,Bellandur,2024-03-19 11:40:00,Negative,Violence,High,"#BellandurAlert,#BangaloreSafety",2024-03-16 05:37:52
121,⚠️ Situation tense in Domlur. Stay updated on local news for safety instructions. #DomlurAlert #BangaloreSafety,Domlur,2024-03-19 14:20:00,Negative,Violence,High,"#DomlurAlert,#BangaloreSafety",2024-03-16 05:38:14
122,Protest gathering near Sarjapur Road. Authorities are monitoring the situation. #SarjapurProtest #BangaloreSafety,Sarjapur Road,2024-03-19 17:10:00,Neutral,Riot,Medium,"#SarjapurProtest,#BangaloreSafety",2024-03-16 05:38:36
123,🚦 Traffic congestion on Hosur Road. Plan your travel accordingly. #HosurRoadTraffic #BangaloreTraffic,Hosur Road,2024-03-20 09:30:00,Neutral,Accident,Low,"#HosurRoadTraffic,#BangaloreTraffic",2024-03-16 05:38:38
124,Reports of disturbance near Cox Town. Exercise caution and avoid unnecessary travel. #CoxTownAlert #BangaloreSafety,Cox Town,2024-03-20 12:00:00,Negative,Violence,Medium,"#CoxTownAlert,#BangaloreSafety",2024-03-16 05:39:00
125,🔴 Critical incident near Old Airport Road. Stay indoors and follow updates for your safety. #OldAirportRoadAlert #BangaloreSafety,Old Airport Road,2024-03-20 15:15:00,Negative,Violence,High,"#OldAirportRoadAlert,#BangaloreSafety",2024-03-16 05:39:23
126,Emergency services at the scene of an accident near Basaveshwaranagar. Expect delays. #BasaveshwaranagarAccident #BangaloreTraffic,Basaveshwaranagar,2024-03-20 18:00:00,Negative,Accident,High,"#BasaveshwaranagarAccident,#BangaloreTraffic",2024-03-16 05:39:45
127,Tensions rising in Vyalikaval. Residents urged to stay indoors and remain vigilant. #VyalikavalAlert #BangaloreSafety,Vyalikaval,2024-03-21 10:20:00,Negative,Violence,High,"#VyalikavalAlert,#BangaloreSafety",2024-03-16 05:40:07
128,🚨 Breaking News: Violent clash reported near Majestic. Stay away from the area for your safety. #MajesticClash #BangaloreSafety,Majestic,2024-03-21 13:10:00,Negative,Violence,High,"#MajesticClash,#BangaloreSafety",2024-03-16 05:40:29
129,"⚠️ Unrest near Kammanahalli. Authorities on high alert, avoid the area if possible. #KammanahalliAlert #BangaloreSafety",Kammanahalli,2024-03-21 15:45:00,Negative,Riot,High,"#KammanahalliAlert,#BangaloreSafety",2024-03-16 05:40:52
130,Traffic disrupted on NICE Road due to a major accident. Seek alternative routes. #NICERoadAccident #BangaloreTraffic,NICE Road,2024-03-21 18:30:00,Negative,Accident,High,"#NICERoadAccident,#BangaloreTraffic",2024-03-16 05:41:13
131,🚧 Road closure reported near Nayandahalli. Plan your commute using alternate routes. #NayandahalliRoadClosure #BangaloreTraffic,Nayandahalli,2024-03-22 08:45:00,Neutral,Accident,Medium,"#NayandahalliRoadClosure,#BangaloreTraffic",2024-03-16 05:41:36
132,Situation escalating in Sanjay Nagar. Residents advised to stay indoors and remain vigilant. #SanjayNagarAlert #BangaloreSafety,Sanjay Nagar,2024-03-22 11:30:00,Negative,Violence,High,"#SanjayNagarAlert,#BangaloreSafety",2024-03-16 05:41:37
133,🚑 Accident near Kengeri causing traffic disruptions. Emergency services on the way. #KengeriAccident #BangaloreTraffic,Kengeri,2024-03-22 14:15:00,Negative,Accident,Medium,"#KengeriAccident,#BangaloreTraffic",2024-03-16 05:41:59
134,Reports of clashes in Hennur. Exercise caution and stay updated on local news. #HennurClash #BangaloreSafety,Hennur,2024-03-22 17:00:00,Negative,Violence,High,"#HennurClash,#BangaloreSafety",2024-03-16 05:42:22
135,🚨 Urgent: Violent incident reported near MG Road. Avoid the area. 🚨 #BangaloreSafety #MGRoadIncident,MG Road,2024-03-23 09:15:00,Negative,Violence,High,"#BangaloreSafety,#MGRoadIncident",2024-03-16 05:42:44
136,Situation escalating in Koramangala with reports of riots. Stay indoors and stay safe! #KoramangalaAlert #BangaloreSafety,Koramangala,2024-03-23 11:30:00,Negative,Riot,High,"#KoramangalaAlert,#BangaloreSafety",2024-03-16 05:43:05
137,⚠️ Accident near Silk Board Junction causing traffic delays. Emergency services on the way. #SilkBoardTraffic #BangaloreTraffic,Silk Board Junction,2024-03-23 14:00:00,Negative,Accident,Medium,"#SilkBoardTraffic,#BangaloreTraffic",2024-03-16 05:43:27
138,Breaking: Massive protest unfolding at Town Hall. Use alternate routes if possible. #TownHallProtest #BangaloreSafety,Town Hall,2024-03-23 16:45:00,Negative,Riot,High,"#TownHallProtest,#BangaloreSafety",2024-03-16 05:43:49
139,🚧 Road blocked in Indiranagar due to a major accident. Seek alternate routes. #IndiranagarTraffic #BangaloreSafety,Indiranagar,2024-03-24 08:20:00,Negative,Accident,High,"#IndiranagarTraffic,#BangaloreSafety",2024-03-16 05:44:11
140,Unrest reported in Electronic City. Stay indoors and avoid unnecessary travel. #ElectronicCityAlert #BangaloreSafety,Electronic City,2024-03-24 10:05:00,Negative,Riot,High,"#ElectronicCityAlert,#BangaloreSafety",2024-03-16 05:44:33
141,🚦 Traffic jam reported near Brigade Road. Plan your commute accordingly. #BrigadeRoadTraffic #BangaloreTraffic,Brigade Road,2024-03-24 13:15:00,Neutral,Accident,Low,"#BrigadeRoadTraffic,#BangaloreTraffic",2024-03-16 05:44:55
142,Commotion in Whitefield area. Please exercise caution and follow updates for your safety. #WhitefieldAlert #BangaloreSafety,Whitefield,2024-03-24 15:40:00,Negative,Riot,High,"#WhitefieldAlert,#BangaloreSafety",2024-03-16 05:44:56
143,🚑 Emergency services at the scene of a serious accident near Hebbal Flyover. Expect delays. #HebbalAccident #BangaloreTraffic,Hebbal Flyover,2024-03-25 09:45:00,Negative,Accident,High,"#HebbalAccident,#BangaloreTraffic",2024-03-16 05:45:18
144,Disturbance reported in JP Nagar. Residents advised to stay vigilant and report any suspicious activity. #JPNagarAlert #BangaloreSafety,JP Nagar,2024-03-25 11:55:00,Negative,Violence,Medium,"#JPNagarAlert,#BangaloreSafety",2024-03-16 05:45:41
145,⚠️ Alert: Major incident near Yelahanka causing road closures. Seek alternative routes. #YelahankaIncident #BangaloreTraffic,Yelahanka,2024-03-25 14:30:00,Negative,Violence,High,"#YelahankaIncident,#BangaloreTraffic",2024-03-16 05:46:03
146,Protests erupting near Lalbagh. Avoid the area for your safety. #LalbaghProtest #BangaloreSafety,Lalbagh,2024-03-25 17:20:00,Negative,Riot,High,"#LalbaghProtest,#BangaloreSafety",2024-03-16 05:46:26
147,🚨 Breaking News: Violent clash reported in HSR Layout. Stay indoors and stay informed. #HSRLayoutAlert #BangaloreSafety,HSR Layout,2024-03-26 10:10:00,Negative,Violence,High,"#HSRLayoutAlert,#BangaloreSafety",2024-03-16 05:46:48
148,"Accident on Outer Ring Road near Marathahalli. Traffic diverted, expect delays. #MarathahalliTraffic #BangaloreTraffic",Marathahalli,2024-03-26 12:40:00,Negative,Accident,High,"#MarathahalliTraffic,#BangaloreTraffic",2024-03-16 05:47:10
149,"Unrest near Bannerghatta Road. Authorities are on site, but caution is advised. #BannerghattaAlert #BangaloreSafety",Bannerghatta Road,2024-03-26 15:15:00,Negative,Riot,High,"#BannerghattaAlert,#BangaloreSafety",2024-03-16 05:47:32
150,🚧 Roadblock reported at Mysore Road. Use alternative routes. #MysoreRoadBlock #BangaloreTraffic,Mysore Road,2024-03-27 08:30:00,Negative,Accident,Medium,"#MysoreRoadBlock,#BangaloreTraffic",2024-03-16 05:47:53
151,Tension rising in Banashankari area. Stay indoors and follow updates for your safety. #BanashankariAlert #BangaloreSafety,Banashankari,2024-03-27 11:20:00,Negative,Violence,High,"#BanashankariAlert,#BangaloreSafety",2024-03-16 05:48:15
152,🚦 Heavy traffic near KR Puram Bridge. Plan your commute accordingly. #KRPuramTraffic #BangaloreTraffic,KR Puram Bridge,2024-03-27 14:45:00,Neutral,Accident,Low,"#KRPuramTraffic,#BangaloreTraffic",2024-03-16 05:48:17
153,Emergency services at the scene of a major accident near Rajajinagar. Avoid the vicinity. #RajajinagarAccident #BangaloreTraffic,Rajajinagar,2024-03-27 17:30:00,Negative,Accident,High,"#RajajinagarAccident,#BangaloreTraffic",2024-03-16 05:48:40
154,🔴 Critical situation in Malleshwaram. Residents advised to stay indoors and secure their homes. #MalleshwaramAlert #BangaloreSafety,Malleshwaram,2024-03-28 09:25:00,Negative,Violence,High,"#MalleshwaramAlert,#BangaloreSafety",2024-03-16 05:49:01
155,Reports of clashes in Basavanagudi. Exercise caution and stay away from affected areas. #BasavanagudiClash #BangaloreSafety,Basavanagudi,2024-03-28 12:15:00,Negative,Violence,High,"#BasavanagudiClash,#BangaloreSafety",2024-03-16 05:49:23
156,🚑 Accident near Jayanagar causing traffic disruptions. Use alternative routes. #JayanagarAccident #BangaloreTraffic,Jayanagar,2024-03-28 15:00:00,Negative,Accident,Medium,"#JayanagarAccident,#BangaloreTraffic",2024-03-16 05:49:45
157,Unrest escalating in Ulsoor. Stay vigilant and avoid unnecessary travel. #UlsoorAlert #BangaloreSafety,Ulsoor,2024-03-29 08:50:00,Negative,Riot,High,"#UlsoorAlert,#BangaloreSafety",2024-03-16 05:50:06
158,🚨 Breaking: Major incident reported near Bellandur. Residents advised to stay indoors. #BellandurAlert #BangaloreSafety,Bellandur,2024-03-29 11:40:00,Negative,Violence,High,"#BellandurAlert,#BangaloreSafety",2024-03-16 05:50:29
159,⚠️ Situation tense in Domlur. Stay updated on local news for safety instructions. #DomlurAlert #BangaloreSafety,Domlur,2024-03-29 14:20:00,Negative,Violence,High,"#DomlurAlert,#BangaloreSafety",2024-03-16 05:50:51
160,Protest gathering near Sarjapur Road. Authorities are monitoring the situation. #SarjapurProtest #BangaloreSafety,Sarjapur Road,2024-03-29 17:10:00,Neutral,Riot,Medium,"#SarjapurProtest,#BangaloreSafety",2024-03-16 05:51:12
161,🚦 Traffic congestion on Hosur Road. Plan your travel accordingly. #HosurRoadTraffic #BangaloreTraffic,Hosur Road,2024-03-30 09:30:00,Neutral,Accident,Low,"#HosurRoadTraffic,#BangaloreTraffic",2024-03-16 05:51:34
162,Reports of disturbance near Cox Town. Exercise caution and avoid unnecessary travel. #CoxTownAlert #BangaloreSafety,Cox Town,2024-03-30 12:00:00,Negative,Violence,Medium,"#CoxTownAlert,#BangaloreSafety",2024-03-16 05:51:36
163,🔴 Critical incident near Old Airport Road. Stay indoors and follow updates for your safety. #OldAirportRoadAlert #BangaloreSafety,Old Airport Road,2024-03-30 15:15:00,Negative,Violence,High,"#OldAirportRoadAlert,#BangaloreSafety",2024-03-16 05:51:59
164,Emergency services at the scene of an accident near Basaveshwaranagar. Expect delays. #BasaveshwaranagarAccident #BangaloreTraffic,Basaveshwaranagar,2024-03-30 18:00:00,Negative,Accident,High,"#BasaveshwaranagarAccident,#BangaloreTraffic",2024-03-16 05:52:23
165,Tensions rising in Vyalikaval. Residents urged to stay indoors and remain vigilant. #VyalikavalAlert #BangaloreSafety,Vyalikaval,2024-03-31 10:20:00,Negative,Violence,High,"#VyalikavalAlert,#BangaloreSafety",2024-03-16 05:52:45
166,🚧 Roadblock reported at Mysore Road. Use alternative routes. #MysoreRoadBlock #BangaloreTraffic,Mysore Road,2024-03-17 08:30:00,Negative,Accident,Medium,"#MysoreRoadBlock,#BangaloreTraffic",2024-03-16 06:00:31
167,Traffic disrupted on NICE Road due to a major accident. Seek alternative routes. #NICERoadAccident #BangaloreTraffic,NICE Road,2024-03-31 18:30:00,Negative,Accident,High,"#NICERoadAccident,#BangaloreTraffic",2024-03-16 06:27:14
168,"Just witnessed a violent clash near MG Road, Bangalore. Stay safe, everyone! #BangaloreViolence #MGRoad",MG Road,2024-03-13 10:15:00,Negative,Violence,High,"#BangaloreViolence,#MGRoad",2024-03-16 06:27:15
169,"Accidents reported on Outer Ring Road, Koramangala. Traffic is heavily affected. #BangaloreTraffic #Koramangala",Koramangala,2024-03-13 11:30:00,Negative,Accident,High,"#BangaloreTraffic,#Koramangala",2024-03-16 06:27:17
170,"Urgent: Riots unfolding in Indiranagar. Authorities, please intervene. #Indiranagar #BangaloreRiots",Indiranagar,2024-03-13 12:45:00,Negative,Riot,High,"#Indiranagar,#BangaloreRiots",2024-03-16 07:02:48
171,Disturbances near Lalbagh. Residents advised to stay indoors. #Lalbagh #StaySafeBangalore,Lalbagh,2024-03-13 14:00:00,Negative,Violence,High,"#Lalbagh,#StaySafeBangalore",2024-03-16 07:03:23
172,"Serious accident on NICE Road near Electronic City. Traffic diverted, expect delays. #ElectronicCity #TrafficAlert",Electronic City,2024-03-13 15:15:00,Negative,Accident,High,"#ElectronicCity,#TrafficAlert",2024-03-16 07:03:56
173,Unsettling reports of violence in Silk Board area. Please avoid the vicinity. #SilkBoard #SafetyFirst,Silk Board,2024-03-13 16:30:00,Negative,Violence,High,"#SilkBoard,#SafetyFirst",2024-03-16 07:04:28
174,"Massive traffic jam on Old Airport Road, Domlur due to an accident. Seek alternative routes. #Domlur #TrafficJam",Domlur,2024-03-13 17:45:00,Negative,Accident,High,"#Domlur,#TrafficJam",2024-03-16 07:05:00
175,"Reports of accidents on Sarjapur Road. Traffic building up, drive cautiously. #SarjapurRoad #DriveSafe",Sarjapur Road,2024-03-13 20:15:00,Negative,Accident,Medium,"#SarjapurRoad,#DriveSafe",2024-03-16 07:43:47
176,Disturbing scenes near Brigade Road. Stay vigilant and avoid the area. #BrigadeRoad #SafetyAlert,Brigade Road,2024-03-13 21:30:00,Negative,Violence,High,"#BrigadeRoad,#SafetyAlert",2024-03-16 07:44:18
177,Emergency services urgently needed in Jayanagar. Violence reported. #Jayanagar #EmergencyResponse,Jayanagar,2024-03-13 22:45:00,Negative,Violence,High,"#Jayanagar,#EmergencyResponse",2024-03-16 07:44:52
178,Increased police presence in Koramangala following recent disturbances. Stay indoors. #Koramangala #StayIndoors,Koramangala,2024-03-14 08:00:00,Negative,Violence,High,"#Koramangala,#StayIndoors",2024-03-16 07:45:26
179,Situation tense in HSR Layout. Residents advised to stay vigilant. #HSRLayout #SafetyNotice,HSR Layout,2024-03-14 09:15:00,Negative,Violence,High,"#HSRLayout,#SafetyNotice",2024-03-16 07:45:59
180,"Disturbances reported near Hebbal. Authorities, please act swiftly. #Hebbal #SecurityAlert",Hebbal,2024-03-14 10:30:00,Negative,Violence,High,"#Hebbal,#SecurityAlert",2024-03-16 07:46:49
181,Unrest in Basavanagudi. Requesting prompt action from law enforcement. #Basavanagudi #SecurityConcerns,Basavanagudi,2024-03-14 13:00:00,Negative,Riot,High,"#Basavanagudi,#SecurityConcerns",2024-03-16 08:04:15
182,Motorists beware: Accidents reported on Bellary Road. Exercise caution. #BellaryRoad #DriveSafe,Bellary Road,2024-03-14 14:15:00,Negative,Accident,Medium,"#BellaryRoad,#DriveSafe",2024-03-16 08:04:47
183,"Commotion in Malleshwaram. Residents, be cautious and stay indoors. #Malleshwaram #SafetyAdvisory",Malleshwaram,2024-03-14 15:30:00,Negative,Riot,High,"#Malleshwaram,#SafetyAdvisory",2024-03-16 08:19:33
184,Prayers for those affected by the violent incident near Commercial Street. #CommercialStreet #ThoughtsAndPrayers,Commercial Street,2024-03-14 16:45:00,Negative,Violence,High,"#CommercialStreet,#ThoughtsAndPrayers",2024-03-16 08:20:05
185,Reports of clashes near Marathahalli. Stay away from the area. #Marathahalli #SafetyAlert,Marathahalli,2024-03-14 18:00:00,Negative,Violence,High,"#Marathahalli,#SafetyAlert",2024-03-16 08:20:37
186,Emergency services required in Yelahanka. Urgent situation unfolding. #Yelahanka #EmergencyResponse,Yelahanka,2024-03-14 19:15:00,Negative,Violence,High,"#Yelahanka,#EmergencyResponse",2024-03-16 08:41:03
187,"Serious accident on Mysore Road. Traffic diverted, expect delays. #MysoreRoad #TrafficJam",Mysore Road,2024-03-14 20:30:00,Negative,Accident,High,"#MysoreRoad,#TrafficJam",2024-03-16 08:41:34
188,"Disturbing incidents in Rajajinagar. Residents, please exercise caution. #Rajajinagar #SafetyNotice",Rajajinagar,2024-03-14 21:45:00,Negative,Violence,High,"#Rajajinagar,#SafetyNotice",2024-03-16 08:42:08
189,Increased police presence in Koramangala following recent disturbances. Stay indoors. #Koramangala #StayIndoors,Koramangala,2024-03-15 08:00:00,Negative,Violence,High,"#Koramangala,#StayIndoors",2024-03-16 09:53:07
190,Situation tense in HSR Layout. Residents advised to stay vigilant. #HSRLayout #SafetyNotice,HSR Layout,2024-03-15 09:15:00,Negative,Violence,High,"#HSRLayout,#SafetyNotice",2024-03-16 09:53:39
191,"Disturbances reported near Hebbal. Authorities, please act swiftly. #Hebbal #SecurityAlert",Hebbal,2024-03-15 10:30:00,Negative,Violence,High,"#Hebbal,#SecurityAlert",2024-03-16 09:54:10
192,"Traffic disrupted on Hosur Road due to an accident. Commuters, plan alternative routes. #HosurRoad #TrafficUpdate",Hosur Road,2024-03-15 11:45:00,Negative,Accident,Medium,"#HosurRoad,#TrafficUpdate",2024-03-16 09:54:42
193,Unrest in Basavanagudi. Requesting prompt action from law enforcement. #Basavanagudi #SecurityConcerns,Basavanagudi,2024-03-15 13:00:00,Negative,Riot,High,"#Basavanagudi,#SecurityConcerns",2024-03-16 09:55:15
194,Motorists beware: Accidents reported on Bellary Road. Exercise caution. #BellaryRoad #DriveSafe,Bellary Road,2024-03-15 14:15:00,Negative,Accident,Medium,"#BellaryRoad,#DriveSafe",2024-03-16 09:55:47
195,"Commotion in Malleshwaram. Residents, be cautious and stay indoors. #Malleshwaram #SafetyAdvisory",Malleshwaram,2024-03-15 15:30:00,Negative,Riot,High,"#Malleshwaram,#SafetyAdvisory",2024-03-16 09:56:20
196,Prayers for those affected by the violent incident near Commercial Street. #CommercialStreet #ThoughtsAndPrayers,Commercial Street,2024-03-15 16:45:00,Negative,Violence,High,"#CommercialStreet,#ThoughtsAndPrayers",2024-03-16 09:56:51
197,Reports of clashes near Marathahalli. Stay away from the area. #Marathahalli #SafetyAlert,Marathahalli,2024-03-15 18:00:00,Negative,Violence,High,"#Marathahalli,#SafetyAlert",2024-03-16 09:57:24
198,Emergency services required in Yelahanka. Urgent situation unfolding. #Yelahanka #EmergencyResponse,Yelahanka,2024-03-15 19:15:00,Negative,Violence,High,"#Yelahanka,#EmergencyResponse",2024-03-16 09:57:55
199,"Serious accident on Mysore Road. Traffic diverted, expect delays. #MysoreRoad #TrafficJam",Mysore Road,2024-03-15 20:30:00,Negative,Accident,High,"#MysoreRoad,#TrafficJam",2024-03-16 11:17:15
200,"Disturbing incidents in Rajajinagar. Residents, please exercise caution. #Rajajinagar #SafetyNotice",Rajajinagar,2024-03-15 21:45:00,Negative,Violence,High,"#Rajajinagar,#SafetyNotice",2024-03-16 11:17:47
